0,1,2,3,4
1.6,,,,
1.6,,,,
1.6,,,,
1.6,,,,
1.6,,,,
1.6,,,,
2.0,2.0,2.0,2.0,
2.0,2.0,2.0,2.0,
2.0,2.0,2.0,2.0,2.0
0.2,,,,
0.2,0.2,,,
0.2,0.2,,,
0.2,0.2,,,
1.6,,,,
1.6,,,,
1.6,,,,
1.6,,,,
1.6,,,,
2.0,2.0,2.0,2.0,
2.0,2.0,2.0,2.0,
2.0,2.0,2.0,2.0,
0.2,,,,
0.2,,,,
0.2,,,,
0.2,0.2,,,
1.6,,,,
1.6,,,,
1.6,,,,
1.6,,,,
1.6,,,,
1.6,1.6,,,
2.0,2.0,2.0,2.0,
2.0,2.0,2.0,2.0,
1.0,1.0,1.0,1.0,
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
0.2,,,,
0.2,0.2,,,
0.2,0.2,,,
2.4000000000000004,2.4000000000000004,,,
2.4000000000000004,2.4000000000000004,2.4000000000000004,,
1.6,,,,
1.6,1.6,,,
1.6,,,,
1.0,1.0,1.0,1.0,
1.0,1.0,1.0,1.0,
1.0,1.0,1.0,1.0,
0.2,0.2,,,
0.2,,,,
0.2,,,,
0.2,,,,
0.2,0.2,,,
0.2,,,,
0.2,,,,
0.2,,,,
0.2,0.2,,,
1.6,,,,
1.6,,,,
1.6,,,,
1.6,,,,
2.0,2.0,2.0,2.0,
0.2,,,,
0.2,,,,
0.2,,,,
0.2,,,,
